Driver ID,First Name,Last Name,Number of Violations,Number of Accidents,Marital Status,Gender,Miles to work,Primary Vehicle Use,Date of Birth
101,Sherrie,Yovan,1,0,M,F,17.0,Work,1994-06-25 00:00:00
102,Cherry,Tonetti,2,0,M,F,6.0,Leisure,1983-11-15 00:00:00
103,Charla,Luga,4,1,M,F,3.0,Work,1976-12-30 00:00:00
104,Caleb,Ebbesen,3,1,S,F,21.0,Work,1991-04-26 00:00:00
105,Angelyn,Wamhoff,2,0,M,M,7.0,Work,1962-01-30 00:00:00
106,Eloise,Vigneau,3,1,M,F,4.0,Work,1988-12-12 00:00:00
107,Cathy,Retzler,4,0,S,M,30.0,Work,1989-02-10 00:00:00
108,Hien,Kingen,0,0,S,F,5.0,Work,1994-10-02 00:00:00
109,Marvin,Markgraf,2,0,S,M,10.0,Work,1996-01-11 00:00:00
110,Jannet,Arrey,6,3,M,F,39.0,Work,1987-06-01 00:00:00
111,Ivy,Easterly,6,0,M,F,22.0,Work,1961-03-15 00:00:00
112,Delores,Dalen,6,1,D,F,18.0,Leisure,1983-12-27 00:00:00
113,Ross,Kunde,4,2,M,M,18.0,Leisure,1980-10-26 00:00:00
114,Daryl,Cabana,2,0,S,F,14.0,Work,1993-05-18 00:00:00
115,Liz,Norris,2,0,S,M,4.0,Work,1999-03-20 00:00:00
116,Lavonda,Banko,6,4,S,M,27.0,Work,1980-12-18 00:00:00
117,Giovanni,Wages,1,0,M,F,20.0,Work,1969-07-25 00:00:00
118,Harland,Rauda,6,0,S,F,37.0,Leisure,1977-03-26 00:00:00
119,Devin,Senteno,1,0,M,M,36.0,Work,1973-04-05 00:00:00
120,Susann,Leuga,2,0,M,M,8.0,Leisure,1972-10-29 00:00:00
121,Priscila,Feamster,4,1,M,M,31.0,Work,1965-02-27 00:00:00
122,Mac,Chou,0,0,M,F,40.0,Work,1971-10-15 00:00:00
123,Nell,Bigus,6,2,D,F,17.0,Work,1988-07-15 00:00:00
124,Branda,Withee,3,0,M,M,8.0,Work,1979-05-03 00:00:00
125,Wilmer,Marchak,2,0,S,M,34.0,Leisure,1978-11-19 00:00:00
126,Jackelyn,Denker,4,0,M,F,25.0,Work,1983-05-31 00:00:00
127,Kurt,Sollars,3,1,M,F,24.0,Work,1972-01-24 00:00:00
128,Ashly,Trotz,0,2,S,F,13.0,Work,1999-08-26 00:00:00
129,Silvana,Grupp,3,1,M,M,16.0,Work,1991-08-09 00:00:00
130,Kenton,Sturtevant,0,0,D,F,19.0,Leisure,1991-12-27 00:00:00
131,Jacklyn,Vanderlaan,3,0,M,F,34.0,Work,1984-10-06 00:00:00
132,Tamala,Sheldrup,5,0,M,M,29.0,Work,1960-10-28 00:00:00
133,Sherice,Lolley,2,0,S,M,1.0,Work,1974-12-20 00:00:00
134,Cedric,Mir,0,2,M,F,8.0,Work,1991-05-14 00:00:00
135,Damien,Nguen,6,4,M,M,26.0,Work,1979-02-01 00:00:00
136,Noel,Vanderwood,3,1,S,M,,Leisure, 
137,Jerrod,Yunk,3,0,M,M,,Work, 
138,Rueben,Kaas,0,2,D,M,23.0,Work,1967-04-28 00:00:00
139,Paris,Yen,6,2,S,M,7.0,Work,1984-02-11 00:00:00
140,Merrie,Daimaru,1,0,M,M,12.0,Work,1972-11-02 00:00:00
141,Charlott,Podvin,2,0,S,F,27.0,Work,1962-04-18 00:00:00
142,Fredricka,Ridgell,1,0,S,F,18.0,Work,1954-03-06 00:00:00
143,Errol,Goodsell,5,0,S,F,11.0,Work,1966-09-01 00:00:00
144,Lorena,Pagliaro,0,0,S,M,14.0,Work,1996-11-30 00:00:00
145,Tanesha,Senger,4,1,S,F,7.0,Work,1987-05-12 00:00:00
146,Emelda,Sluka,6,0,S,F,33.0,Work,1978-10-05 00:00:00
147,Junita,Penwell,2,0,S,F,16.0,Leisure,1997-06-11 00:00:00
148,Kasi,Sunford,2,0,M,M,13.0,Work,1972-01-10 00:00:00
149,Frederic,Mize,1,0,M,F,23.0,Work,1967-02-01 00:00:00
150,Delta,Welcome,3,0,M,M,30.0,Work,1983-09-22 00:00:00
151,Sherri,Warning,0,0,S,F,21.0,Work,1997-01-15 00:00:00
152,Alaina,Barben,1,0,S,M,1.0,Work,1963-04-11 00:00:00
153,Blake,Jasch,4,0,D,F,20.0,Work,1977-03-09 00:00:00
154,Alfredo,Bowditch,0,1,D,M,22.0,Work,1959-04-15 00:00:00
155,Eric,Novellino,0,2,S,M,4.0,Leisure,1961-12-24 00:00:00
156,Lanelle,Guevana,5,2,M,M,15.0,Leisure,1986-05-04 00:00:00
157,Shandi,Weslow,0,1,S,M,20.0,Work,1996-04-02 00:00:00
158,Christia,Cofone,5,2,M,F,4.0,Work,1968-11-02 00:00:00
159,Karmen,Caverly,2,0,S,F,32.0,Work,1970-12-06 00:00:00
160,Meaghan,Agnor,3,1,S,M,24.0,Work,1989-08-22 00:00:00
161,Eldora,Corlett,6,0,S,M,11.0,Work,1990-08-29 00:00:00
162,Lavenia,Wickson,3,1,S,M,28.0,Work,1984-05-28 00:00:00
163,Josefa,Cassels,3,1,S,M,34.0,Work,1972-02-14 00:00:00
164,Anisa,Serville,0,2,M,M,15.0,Leisure,1987-01-12 00:00:00
165,Sterling,Graft,4,1,D,F,36.0,Work,1990-09-12 00:00:00
166,Dori,Westergard,2,0,S,M,25.0,Work,1997-04-30 00:00:00
167,Lloyd,Dierks,3,0,S,F,20.0,Work,1995-02-16 00:00:00
168,Margherita,Mcgugin,6,0,D,F,26.0,Work,1991-12-07 00:00:00
169,Phoebe,Schueler,2,0,S,M,36.0,Leisure,1967-08-10 00:00:00
170,Clarine,Eiselein,6,0,D,F,,Work, 
171,Elane,Wimbish,1,0,S,F,31.0,Work,1954-01-19 00:00:00
172,Yun,Hillhouse,3,1,M,M,16.0,Leisure,1982-11-04 00:00:00
173,Nieves,Akhand,3,1,M,F,1.0,Work,1991-05-27 00:00:00
174,Lenore,Schweitz,0,0,S,M,38.0,Work,1981-09-03 00:00:00
175,Lida,Beneke,3,0,S,F,22.0,Work,1995-06-24 00:00:00
176,Soila,Schexnayder,0,0,S,M,,Leisure, 
177,Sondra,Schnitzler,1,0,S,M,7.0,Work,1961-11-10 00:00:00
178,Sook,Mcintrye,0,0,S,M,40.0,Work,1971-06-11 00:00:00
179,Connie,Reisman,6,0,M,F,26.0,Work,1980-07-22 00:00:00
180,Emilia,Chiu,1,0,M,M,21.0,Work,1982-07-09 00:00:00
181,Sharie,Crown,1,0,S,M,9.0,Work,1965-03-30 00:00:00
182,Racquel,Estus,2,0,M,M,10.0,Leisure,1953-11-29 00:00:00
183,Maryrose,Vyas,2,0,M,F,37.0,Work,1957-03-29 00:00:00
184,Jaime,Montagna,6,0,D,F,29.0,Work,1992-09-01 00:00:00
185,Joslyn,Acampora,0,1,M,M,40.0,Work,1956-08-13 00:00:00
186,Divina,Fellhauer,1,0,S,M,18.0,Work,1990-10-22 00:00:00
187,Francoise,Foreback,3,0,M,M,12.0,Work,1992-05-09 00:00:00
188,Shay,Red,6,2,D,M,9.0,Work,1992-12-28 00:00:00
189,Velva,Bellisle,0,2,D,M,19.0,Leisure,1945-07-29 00:00:00
190,Tennie,Draft,3,0,S,M,19.0,Leisure,1993-12-19 00:00:00
191,Eilene,Smoke,2,0,S,F,29.0,Work,1980-09-22 00:00:00
192,Avis,Goldmann,0,0,S,F,10.0,Work,1968-04-12 00:00:00
193,Katherine,Calvaresi,3,0,D,M,9.0,Work,1992-04-23 00:00:00
194,Teddy,Nevue,0,2,D,M,11.0,Work,1974-02-03 00:00:00
195,Golden,Hairston,6,4,M,F,17.0,Leisure,1981-02-25 00:00:00
196,Jimmie,Innes,1,0,M,F,7.0,Leisure,1986-10-04 00:00:00
197,Romana,Sly,2,0,M,M,26.0,Work,1986-07-01 00:00:00
198,Mohammad,Garib,6,4,S,F,11.0,Work,1977-05-09 00:00:00
199,Ernestina,Granfield,2,0,S,M,23.0,Leisure,1995-12-13 00:00:00
200,Merlin,Deloach,6,4,S,F,22.0,Work,1983-06-06 00:00:00
201,Georgie,Metellus,6,0,M,M,5.0,Work,1977-05-04 00:00:00
202,Corie,Pospisil,2,0,S,M,2.0,Leisure,1977-07-26 00:00:00
203,James,Buescher,1,0,S,M,1.0,Work,1986-02-15 00:00:00
204,Larry,Mcfarren,4,0,D,F,29.0,Work,1975-11-17 00:00:00
205,Delicia,Sails,3,1,M,M,25.0,Leisure,1969-04-13 00:00:00
206,Shala,Tarski,3,0,S,M,33.0,Leisure,1991-12-10 00:00:00
207,Laurel,Woodburg,3,0,S,M,1.0,Work,1969-02-24 00:00:00
208,George,Chamber,3,0,M,F,33.0,Work,1982-03-15 00:00:00
209,Tennille,Klitz,2,0,S,F,20.0,Leisure,1999-02-15 00:00:00
210,Shu,Reddick,4,2,D,M,36.0,Work,1986-05-05 00:00:00
211,Cristina,Vitaniemi,0,0,M,M,11.0,Leisure,1983-12-18 00:00:00
212,Petra,Andino,2,0,S,F,13.0,Leisure,1985-06-27 00:00:00
213,Lakita,Ciufo,3,1,M,M,25.0,Work,1985-01-25 00:00:00
214,Sunny,Houseman,0,0,S,F,25.0,Work,1968-12-10 00:00:00
215,Elidia,Willenbrink,0,1,S,M,27.0,Leisure,1993-06-06 00:00:00
216,Jaye,Deming,0,2,D,F,7.0,Leisure,1966-04-01 00:00:00
217,Flor,Forrer,6,2,S,M,24.0,Work,1990-11-11 00:00:00
218,Tiara,Edsall,2,0,S,F,21.0,Work,1987-03-19 00:00:00
219,Cristina,Roope,4,0,M,M,19.0,Leisure,1967-01-04 00:00:00
220,Alvera,Sollock,2,0,S,F,25.0,Work,1956-10-21 00:00:00
221,Retha,Tirpak,0,2,M,M,35.0,Work,1984-06-10 00:00:00
222,Dolores,Garsia,1,1,S,M,23.0,Leisure,1966-08-16 00:00:00
223,Jamison,Manca,0,2,M,F,32.0,Work,1983-02-09 00:00:00
224,Maryam,Juanico,4,0,S,M,29.0,Work,1994-10-18 00:00:00
225,Etha,Padamadan,1,1,S,F,28.0,Work,1994-03-02 00:00:00
226,Victor,Pattillo,1,1,M,M,2.0,Work,1985-04-10 00:00:00
227,Yuriko,Torrado,5,1,M,M,27.0,Work,1967-07-28 00:00:00
228,Jinny,Vanmetre,2,0,M,M,1.0,Work,1981-08-08 00:00:00
229,Cheyenne,Melaro,3,1,S,M,4.0,Work,1996-03-26 00:00:00
230,Fran,Armbrust,1,0,S,M,2.0,Work,1992-07-07 00:00:00
231,Sherice,Ringlein,3,0,M,F,28.0,Leisure,1961-04-03 00:00:00
232,Ji,Riss,0,0,M,M,8.0,Work,1985-03-24 00:00:00
233,Rosena,Stumb,2,0,M,M,40.0,Work,1970-05-04 00:00:00
234,Rene,Vernier,4,0,M,F,20.0,Work,1972-08-14 00:00:00
235,Lenore,Knehans,3,1,M,M,5.0,Work,1991-04-13 00:00:00
236,Kiyoko,Ellner,2,0,S,M,25.0,Leisure,1975-10-14 00:00:00
237,Joel,Rapozo,3,0,M,F,39.0,Work,1977-08-27 00:00:00
238,Tara,Vanslyke,1,0,M,F,11.0,Work,1961-12-02 00:00:00
239,Amiee,Quivers,5,2,D,M,11.0,Work,1970-05-19 00:00:00
240,Dale,Boveja,4,2,S,M,4.0,Work,1997-03-19 00:00:00
241,Johanne,Freber,3,0,M,F,37.0,Work,1976-01-07 00:00:00
242,Bernarda,Babey,2,0,M,M,2.0,Work,1989-04-12 00:00:00
243,Bettie,Roubekas,1,0,M,F,1.0,Work,1968-07-16 00:00:00
244,Allegra,Kirksey,6,0,S,F,13.0,Work,1992-06-22 00:00:00
245,Hilary,Molinini,1,0,S,M,9.0,Leisure,1997-04-21 00:00:00
246,Brianne,Kariger,1,1,S,F,21.0,Work,1992-04-01 00:00:00
247,Joesph,Roerig,2,0,D,F,1.0,Work,1993-05-21 00:00:00
248,Mikki,Sollenberger,5,3,M,M,23.0,Work,1972-06-29 00:00:00
249,Cruz,Kelk,0,0,D,F,16.0,Work,1952-10-25 00:00:00
250,Samantha,Timpone,2,0,S,M,2.0,Leisure,1999-03-01 00:00:00
251,Tayna,Branciforte,3,0,M,M,12.0,Work,1991-02-08 00:00:00
252,Janis,Elcock,2,0,S,M,1.0,Leisure,1982-10-27 00:00:00
253,Lucia,Parman,1,1,S,F,29.0,Leisure,1986-08-02 00:00:00
254,Rene,Schlatter,2,0,S,M,9.0,Work,1964-03-18 00:00:00
255,Randolph,Kenwood,3,1,S,M,11.0,Work,1968-11-23 00:00:00
256,Akiko,Fricker,3,1,S,F,9.0,Work,1990-05-23 00:00:00
257,Nathanial,Papaioannou,1,1,S,M,28.0,Leisure,1977-01-18 00:00:00
258,Nellie,Clowes,2,0,D,M,11.0,Work,1974-08-08 00:00:00
259,Ernestina,Gillians,0,2,M,M,39.0,Work,1988-05-03 00:00:00
260,Ericka,Abramovitz,1,0,S,M,7.0,Leisure,1961-08-12 00:00:00
261,Elinore,Alexandra,2,0,M,M,3.0,Work,1957-08-23 00:00:00
262,Buster,Pemberton,1,0,S,M,10.0,Work,1975-11-30 00:00:00
263,Janelle,Sunkel,2,0,M,F,10.0,Work,1958-02-06 00:00:00
264,Gale,Kresse,2,0,S,F,35.0,Work,1980-09-08 00:00:00
265,Danuta,Magid,0,0,M,F,33.0,Work,1961-07-16 00:00:00
266,Kimbra,Borroel,5,1,M,F,6.0,Work,1990-09-21 00:00:00
267,Latoria,Lumukanda,0,2,S,F,30.0,Work,1998-06-30 00:00:00
268,Troy,Cogdill,1,0,M,F,22.0,Work,1989-09-14 00:00:00
269,Trudie,Mall,3,0,D,F,35.0,Leisure,1990-10-29 00:00:00
270,Neta,Schwede,3,0,D,M,33.0,Leisure,1991-08-13 00:00:00
271,Katharina,Turiano,4,2,S,M,10.0,Leisure,1997-03-08 00:00:00
272,Melina,Fohl,1,1,S,M,27.0,Leisure,1996-05-08 00:00:00
273,Luanna,Cumblidge,4,0,S,M,28.0,Work,1999-09-21 00:00:00
274,Zackary,Siebert,2,0,S,M,5.0,Leisure,1999-06-09 00:00:00
275,Kacie,Ahlf,0,2,S,F,10.0,Work,1989-10-14 00:00:00
276,Olene,Gober,5,0,S,M,7.0,Work,1990-02-26 00:00:00
277,Denny,Schooler,5,0,M,M,25.0,Work,1971-12-10 00:00:00
278,Camelia,Kopet,6,1,S,M,,Work, 
279,Hisako,Astrella,5,0,M,F,5.0,Work,1983-11-06 00:00:00
280,Ashton,Breceda,0,0,D,M,26.0,Work,1959-04-26 00:00:00
281,Carolyne,Giorno,4,0,M,M,23.0,Leisure,1994-06-29 00:00:00
282,Lien,Hohnson,5,1,M,M,29.0,Work,1976-11-22 00:00:00
283,Raul,Mantilla,2,0,S,M,27.0,Leisure,1996-11-02 00:00:00
284,Nerissa,Walkling,0,0,S,F,27.0,Work,1976-05-28 00:00:00
285,Victorina,Kruss,3,0,S,M,27.0,Leisure,1970-10-15 00:00:00
286,Tiffaney,Hatfield,5,3,S,F,24.0,Leisure,1978-05-04 00:00:00
287,Dannielle,Lerper,0,1,S,F,,Leisure, 
288,Norene,Hallas,3,0,D,M,6.0,Work,1990-06-10 00:00:00
289,Ulrike,Lazzar,3,0,M,M,9.0,Work,1983-08-05 00:00:00
290,Flavia,Fryou,1,0,S,M,25.0,Leisure,1968-10-15 00:00:00
291,Arlyne,Grahl,1,0,M,F,14.0,Work,1961-09-25 00:00:00
292,Vernie,Goldey,2,0,S,F,,Work, 
293,Sharri,High,4,1,S,F,14.0,Work,1971-02-12 00:00:00
294,Sherron,Philbrick,1,1,S,M,15.0,Work,1972-07-15 00:00:00
295,Danyel,Poetker,3,1,S,F,16.0,Work,1968-07-07 00:00:00
296,Astrid,Lanehart,3,0,S,M,21.0,Leisure,1999-05-28 00:00:00
297,Kellee,Ehrenfeld,2,0,M,M,28.0,Work,1985-10-22 00:00:00
298,Steven,Keen,2,0,S,M,9.0,Work,1966-07-08 00:00:00
299,Kiley,Ridolfi,6,1,M,M,24.0,Work,1993-02-03 00:00:00
300,Gonzalo,Beaven,3,0,M,M,37.0,Work,1978-07-08 00:00:00
301,Mayme,Trappey,4,2,S,M,36.0,Leisure,1989-12-06 00:00:00
302,Nakisha,Dionne,3,0,S,M,9.0,Work,1962-08-27 00:00:00
303,Daphine,Render,0,0,S,M,35.0,Work,1979-04-28 00:00:00
304,Ashlie,Bamford,5,1,M,F,11.0,Work,1980-03-01 00:00:00
305,Caleb,Boane,6,0,M,M,31.0,Work,1963-05-16 00:00:00
306,Dorian,Galo,1,0,S,M,39.0,Leisure,1977-10-31 00:00:00
307,Lashaunda,Lippard,3,0,S,M,26.0,Work,1989-04-08 00:00:00
308,Fredericka,Mirante,2,0,M,F,25.0,Leisure,1981-04-11 00:00:00
309,Floy,Wirght,1,0,M,M,31.0,Work,1991-03-06 00:00:00
310,Modesta,Gapp,2,0,S,M,36.0,Work,1984-09-15 00:00:00
311,Danae,Beacham,6,0,S,M,10.0,Work,1976-05-14 00:00:00
312,Lilly,Hoyos,2,0,S,M,2.0,Work,1988-06-10 00:00:00
313,Jewell,Smoldt,0,1,S,M,,Work, 
314,Dong,Remeder,3,0,M,M,34.0,Work,1967-02-07 00:00:00
315,Nettie,Bulosan,5,0,S,F,13.0,Work,1979-07-01 00:00:00
316,Marin,Sivie,0,0,S,M,35.0,Work,1968-03-03 00:00:00
317,Nicky,Huft,6,2,S,M,33.0,Work,1977-07-06 00:00:00
318,Laurence,Timbers,5,1,S,F,26.0,Leisure,1991-02-22 00:00:00
319,Mariella,Carrabine,3,0,M,M,5.0,Work,1975-06-26 00:00:00
320,Ericka,Cartegena,0,0,D,M,4.0,Work,1977-11-13 00:00:00
321,Sherrie,Denos,0,0,S,M,30.0,Work,1993-10-22 00:00:00
322,Melony,Duncker,1,0,M,M,11.0,Work,1979-03-28 00:00:00
323,Devon,Ploss,5,0,S,F,27.0,Work,1975-08-10 00:00:00
324,Dahlia,Rynkowski,1,0,S,M,22.0,Leisure,1996-03-12 00:00:00
325,Margarett,Calliste,1,0,M,M,11.0,Work,1992-09-12 00:00:00
326,Stacy,Mettenburg,2,0,S,M,20.0,Leisure,1986-05-14 00:00:00
327,Madaline,Simek,3,0,M,M,14.0,Work,1980-07-21 00:00:00
328,Piedad,Felske,0,2,S,M,24.0,Work,1998-03-16 00:00:00
329,Shandra,Hennecke,4,0,S,M,9.0,Work,1987-06-07 00:00:00
330,Emilia,Honberger,0,1,S,M,23.0,Work,1965-10-12 00:00:00
331,Stephani,Kolenda,2,0,M,M,28.0,Work,1987-09-26 00:00:00
332,Lynne,Brosseau,0,0,D,M,25.0,Work,1974-02-06 00:00:00
333,Lewis,Rials,3,1,M,M,29.0,Work,1993-11-27 00:00:00
334,Eloisa,Bennage,3,0,S,M,39.0,Work,1971-11-16 00:00:00
335,Deedra,Galauiz,2,0,M,M,3.0,Work,1974-08-19 00:00:00
336,Dirk,Stroh,3,1,S,M,33.0,Leisure,1976-01-25 00:00:00
337,Chong,Michalski,3,1,M,M,13.0,Work,1983-01-13 00:00:00
338,Theodora,Niebaum,3,0,S,F,7.0,Leisure,1998-03-15 00:00:00
339,Faustino,Kravitz,4,0,D,M,35.0,Work,1975-02-26 00:00:00
340,Mazie,Silverman,0,2,D,F,34.0,Work,1960-10-15 00:00:00
341,Velma,Messamore,0,1,S,F,20.0,Work,1996-03-27 00:00:00
342,Herlinda,Saadeh,0,0,M,M,2.0,Work,1953-10-07 00:00:00
343,Marna,Commings,6,2,S,M,23.0,Work,1977-12-01 00:00:00
344,Sybil,Celis,3,1,M,M,34.0,Work,1976-05-31 00:00:00
